Country names,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Mauritius,114,23,14,15,12,20,12,8,1262.132,13.49,0,74.72,92.7076,96.14531
Mexico,106,46,15,16,13,37,13,8,127540.423,2329.83,34,77.118,94.47228,95.0583
Micronesia (Federated States of),65,55,33,37,30,43,28,17,104.937,2.475,0,69.195,,84.00333
Monaco,179,8,3,4,3,6,3,2,38.499,,0,,,
Mongolia,95,109,18,21,14,77,15,10,3027.398,73.208,1,69.287,98.257,96.51207
Montenegro,164,17,4,4,4,15,4,2,628.615,7.232,0,77.116,98.44221,92.89657
Montserrat,,,,,,,,,5.152,,,,,92.31966
Morocco,74,80,27,30,24,63,23,18,35276.786,708.803,19,75.821,69.42539,98.42964
Mozambique,24,248,71,76,67,165,53,27,28829.476,1104.798,78,58.311,50.58381,89.13281
Myanmar,44,116,51,55,46,82,40,25,52885.223,944.153,48,66.612,75.5512,94.52788
Namibia,51,71,45,49,41,48,32,18,2479.713,71.684,3,64.388,88.27463,89.7437
Nauru,59,58,35,38,31,45,29,22,11.347,,0,,,86.42715
Nepal,59,141,35,37,32,98,28,21,28982.771,572.824,20,70.253,59.62725,96.96362
Netherlands,164,8,4,4,3,7,3,3,16987.33,178.563,1,81.859,,98.30618
New Zealand,157,11,5,6,5,9,5,3,4660.833,61.584,0,81.885,,99.08248
Nicaragua,88,68,20,22,17,51,17,9,6149.928,121.23,2,75.404,78.00298,96.9525
Niger,11,329,91,95,87,133,51,26,20672.987,967.162,86,60.058,15.4567,62.40561
Nigeria,6,213,104,110,98,126,67,34,185989.64,7140.583,733,53.428,51.07766,63.8372
Niue,82,14,22,25,20,12,19,12,1.624,,0,,,
Norway,179,9,3,3,2,7,2,2,5254.694,61.635,0,82.173,,99.78458
Oman,126,39,11,12,10,32,9,5,4424.762,80.928,1,77.029,93.03861,94.5264
Pakistan,20,139,79,82,75,106,64,46,193203.476,5438.658,424,66.481,56.97715,73.84532
Palau,100,36,16,18,14,31,14,8,21.503,,0,,96.59374,80.01433
Panama,100,31,16,18,15,26,14,10,4034.119,78.752,1,78.001,94.09412,93.40181
Papua New Guinea,40,88,54,59,50,64,42,24,8084.991,221.413,12,65.544,57.34326,86.01087
Paraguay,88,47,20,22,18,37,17,11,6725.308,140.475,3,73.12,95.0727,88.54507
Peru,106,80,15,17,14,57,12,8,31773.839,615.134,9,74.983,94.17367,94.08172
Philippines,74,58,27,30,24,41,22,13,103320.222,2385.833,64,69.094,96.398,95.9844
Poland,157,17,5,5,4,15,4,3,38224.41,365.279,2,77.614,,96.41781
Portugal,164,15,4,4,3,12,3,2,10371.627,82.937,0,81.23,94.47705,97.8249
Qatar,133,21,9,9,8,18,7,4,2569.804,25.135,0,78.184,97.74669,92.11397
Republic of Korea,179,16,3,4,3,14,3,2,50791.919,449.034,2,82.15,,98.20743
Republic of Moldova,100,33,16,18,14,27,14,12,4059.608,42.723,1,71.61,99.13831,86.85478
Romania,133,31,9,10,8,25,8,4,19778.083,191.948,2,75.443,98.60429,86.8692
Russian Federation,142,22,8,9,7,18,7,3,143964.513,1852.091,14,71.089,99.68427,96.53101
Rwanda,57,151,39,42,35,93,29,17,11917.508,370.081,14,67.129,68.33103,95.09565
Saint Kitts and Nevis,133,32,9,10,8,26,8,6,54.821,,0,,,78.35472
Saint Lucia,118,21,13,15,12,18,12,9,178.015,2.171,0,75.496,,93.04284
Saint Vincent and the Grenadines,98,24,17,18,15,20,15,10,109.643,1.73,0,73.179,,93.93153
Samoa,98,31,17,19,16,26,15,9,195.125,4.861,0,75.013,98.97326,95.95162
San Marino,179,11,3,3,3,10,3,1,33.203,,0,,,92.70895
Sao Tome and Principe,62,105,34,37,30,67,26,15,199.91,6.718,0,66.624,90.1431,94.91071
Saudi Arabia,118,45,13,14,12,36,11,7,32275.687,626.201,8,74.561,94.42634,97.59739
Senegal,48,140,47,51,43,72,34,21,15411.614,542.241,25,67.146,42.8175,71.44651
Serbia,153,28,6,6,5,24,5,4,8820.083,93.767,1,75.2,98.84151,96.30226
Seychelles,114,17,14,16,13,14,12,9,94.228,1.561,0,73.546,93.95423,94.90045
Sierra Leone,4,262,114,120,106,156,83,33,7396.19,258.201,29,51.835,32.42617,99.11538
Singapore,179,8,3,3,3,6,2,1,5622.455,49.599,0,83.035,97.04959,
Slovakia,153,15,6,6,5,13,5,3,5444.218,56.97,0,76.852,,
Slovenia,192,10,2,3,2,9,2,1,2077.862,21.392,0,80.963,,97.73995
Solomon Islands,76,38,26,28,23,31,22,10,599.419,17.197,0,70.726,76.6,70.54706
Somalia,1,181,133,139,126,109,83,39,14317.996,609.208,79,56.293,,
South Africa,53,57,43,48,39,45,34,12,56015.473,1175.983,51,62.774,94.36792,83.32679
South Sudan,11,256,91,96,85,152,59,38,12230.73,431.369,38,56.811,26.83128,30.93833
Spain,179,9,3,4,3,7,3,2,46347.576,414.941,1,83.148,98.25051,99.42125
Sri Lanka,133,21,9,10,9,18,8,5,20798.492,322.97,3,75.284,91.18136,98.93746
State of Palestine,92,45,19,21,18,36,17,11,4790.705,150.052,3,73.473,96.93023,90.1797
Sudan,29,131,65,70,60,82,45,29,39578.828,1289.851,83,64.486,53.51738,53.78016
Suriname,88,46,20,22,18,40,18,11,558.368,10.203,0,71.405,92.86866,93.31307
Swaziland,25,66,70,76,65,50,52,21,1343.098,38.625,3,57.754,83.09829,79.6157
Sweden,179,7,3,3,3,6,2,2,9837.533,118.513,0,82.462,,99.37306
Switzerland,164,8,4,4,4,7,4,3,8401.739,86.328,0,83.308,,93.31632
